area_sqft,bedrooms,bathrooms,age_of_house,distance_to_city,price
1970,2,3,31,20.553506418188473,329274.29433048866
1080,3,2,7,1.1658388594628892,242844.12977010006
3337,2,2,18,14.508946843470616,535749.0202087417
3408,1,3,37,17.56370666004847,508592.6221397019
2794,3,1,2,9.816877900991988,493168.42672776646
3647,4,2,4,10.22502896020069,639972.3142012708
653,4,2,12,28.87362305559479,169706.84858280484
2179,5,3,30,26.859615090879633,412316.386098159
1496,2,1,15,25.62619115954942,248902.8809500304
3657,3,2,31,12.774342249477208,603956.1005162438
3244,5,3,21,1.397257961858522,631594.5078750978
3856,3,2,28,3.326445147215708,649882.535546869
1743,2,3,21,10.053694678310507,316556.03929413285
1592,4,1,2,1.4565444768746325,319647.70326058695
3618,1,1,9,1.4973436755407454,581991.9465832089
1508,4,1,20,27.58149574762992,273379.86277057324
2641,5,1,15,21.47859656145257,475095.63993960415
2273,1,2,11,9.959723711976427,369610.7021936334
1457,5,2,1,4.846692750427642,336879.1915897154
3559,2,1,23,15.837435818957236,552294.4792675946
952,1,1,34,1.1550386647765691,178338.0747762121
1727,5,1,29,28.213998571886176,306918.67061619845
3459,2,2,29,13.02963846227947,540402.7983762964
2765,4,1,34,12.66771370188265,490647.1525704311
3021,2,1,18,12.327214619871683,475800.7196127022
2979,3,1,7,3.010521581245178,506480.1591576314
2888,2,3,25,19.511344953962972,494211.6128976386
1050,2,1,39,22.257104969222247,137739.9607715515
2135,3,3,6,20.607636530060418,412164.1799087406
1812,5,3,29,5.014629306552435,389269.6171332708
3825,5,1,6,17.786364873032184,673135.6670894475
2257,2,3,2,17.515050040995362,411125.4142877865
856,3,1,0,26.18391285030008,167796.34835246034
2570,3,2,35,11.994702092893762,451273.0546093548
2285,4,2,24,11.773092366123592,413524.8419617054
3069,5,2,36,18.93728470282738,548745.4505821537
2281,1,2,0,19.359106951485877,391356.7603314512
3671,5,3,14,14.609271592447922,690524.2539052492
3349,5,1,36,13.848721507582212,570694.3834533074
3751,4,1,12,15.330282448498597,639666.7466651165
3794,1,1,39,25.970313685596043,541537.3544613497
3309,4,2,7,14.373840136363391,623933.1032726682
2989,1,2,4,28.25802196712485,478593.8681209824
2131,2,1,8,15.616109144293455,353894.76739326055
3316,1,2,0,28.52682010224585,523561.6124996203
1515,4,1,35,25.152125154203198,275204.4560774878
1848,5,1,34,11.510508355859045,360040.6447558932
1015,1,1,1,26.045601217601863,156804.4255176998
3587,1,1,39,4.191835241832342,531743.2552696401
3339,3,1,22,27.826368084947422,528145.8314891552
835,5,1,8,19.31766193740386,197436.96248688802
2282,2,1,33,2.5773317071470245,379096.7843974699
2805,4,2,13,19.683444985873535,488640.9793743919
996,2,1,3,29.25318197019793,156847.5668450313
1395,5,1,29,3.024218983824239,297810.4640177135
2707,1,2,30,17.0859435836225,413012.2169710292
1351,1,2,37,22.686036143021802,204108.48099381302
2187,5,2,10,24.497499014286408,417029.42044476746
2431,1,1,34,13.00099649430308,353560.8651322323
3237,1,3,7,6.920830215879047,548410.9623604483
2927,1,3,2,2.2279260843991313,509690.3319230288
2068,4,2,13,17.81205855581952,400830.81713683065
1456,4,3,12,14.134421037760713,320175.0931475115
3238,3,2,31,28.51358745934162,524920.2518906425
3998,2,1,33,2.757542323732384,628999.0409919252
2136,5,3,18,20.876464959934165,420282.90894293116
1791,5,1,37,1.7240204414816578,374436.6785607099
1940,5,3,15,5.971591124605739,438002.22936270974
1691,3,1,1,14.15379099776219,325609.89286725235
1566,4,3,39,14.191300841283178,308120.7753626929
784,3,1,16,20.885315745075673,167001.84602417657
2944,5,1,33,27.396178011164942,517479.37105538166
511,2,3,15,19.531932608532703,111770.11386565014
2130,1,1,37,28.652517837693754,321665.1585877837
3873,4,1,1,26.566853556461933,622492.3322762011
3824,4,1,1,17.950494070392917,660418.5932252433
3046,3,3,25,25.17996657664599,538519.268017141
1253,4,3,12,19.634750699385386,282019.2973402092
2582,5,1,30,3.278177096788087,472764.85690586583
3274,5,1,33,22.476376974525788,567238.5349151781
3396,3,3,38,3.7523447967530403,608025.8835822551
589,5,3,2,18.22840063652166,209305.58479435786
1275,2,1,7,21.376565969888638,207559.10615212217
3152,3,1,22,2.929300638114802,520914.0675277653
3517,2,1,13,7.693044963869421,541169.2451518374
2125,1,2,26,27.554494735587845,333861.87374513946
3569,2,3,28,18.873120274753994,571365.6339345381
917,1,2,38,8.142294545505415,145882.61814351124
614,1,3,38,21.029713363292192,119314.6036079929
1116,2,3,0,18.306516178888998,228439.82895496328
3767,3,3,16,15.545695297620503,653090.6606332054
1325,5,3,29,29.309422274654427,275669.2501681013
2149,5,3,12,20.82015954481776,451310.6318800422
2016,1,3,20,11.887792180369468,344640.7831386126
3646,1,3,18,24.202129530229172,571969.1850074758
912,3,2,18,26.652915494714446,187710.4868244425
3947,4,1,24,4.631396225988111,643917.1843542207
3991,2,1,21,6.816036357512728,631653.9748016918
1228,1,2,30,7.2705832647056114,200804.36995494534
3848,5,2,16,21.04514247220967,654463.3683712269
3568,3,2,22,18.488147096545216,579045.7214998567
3308,2,2,31,18.950755376259057,520510.5657544532
1175,3,3,9,28.282425690995527,236658.19153478683
3965,2,1,9,23.50143445141187,582866.8569728319
2392,2,3,35,4.710170810841712,427235.64228329126
3004,1,1,7,11.07770539033025,466790.9464833248
3467,3,1,19,13.626415739096332,532114.3311223554
2739,3,2,31,12.482886073680541,495591.55802151037
3286,5,3,13,20.409949665694498,625710.9353040033
1622,5,2,27,26.864899994440314,319600.36923953466
2071,1,3,23,9.875492442160851,334737.04518733866
1477,1,1,14,17.004436956214384,234393.43120519345
1508,4,2,21,23.892873235493983,298542.02898776816
2643,5,2,29,13.070323706515131,498311.02516549046
2187,2,1,3,5.87542572357958,362180.2701775947
3210,3,1,12,14.773577992648699,548593.0023219258
3761,1,1,22,2.6014531015478255,571846.615050819
536,3,2,7,28.32912016606603,146682.36606376746
3940,3,3,17,3.169814950654218,667276.0961424905
2048,4,2,11,13.715244742266767,434406.91504403553
2826,5,3,30,16.36655657156726,538966.2936629115
2764,1,2,13,29.57381113633128,467889.6730122734
3414,3,2,33,5.814632885642963,582299.3967592478
1372,1,1,17,4.318514039758398,214459.52060721134
2321,2,3,33,1.2524782648137638,417938.23363902414
1796,4,2,10,5.511571669209767,379397.0956036885
2609,2,2,11,7.010916392962361,451138.9457745041
1095,1,1,14,19.286847305909678,178219.03977457117
2403,1,1,30,7.371496921350611,375504.41001976456
1228,5,3,28,1.595103627150431,290299.68121136347
1865,3,2,25,24.971932019572172,308805.1919094785
896,3,3,17,11.602275329115036,202284.46969166846
1198,2,2,31,11.257203910841284,215555.93200471636
3590,4,3,21,9.77189184586987,633580.5405820289
2724,3,1,37,29.285825037246205,410080.6164739095
2135,5,2,16,5.933347101969163,443146.36605582555
895,2,3,22,27.048903854643818,178846.7684474034
2992,2,1,23,23.52729663205675,464406.63823850604
3804,5,1,7,3.217918709480079,672912.2417129108
575,4,3,5,29.61514394352461,171961.4345209918
764,5,2,4,8.869612942631306,219910.41963023404
3002,4,2,28,3.8589048836499575,548047.19950441
2319,5,1,27,25.050112789647024,405647.4939855552
1217,5,2,10,21.493590476653296,286197.266523739
3282,1,2,0,18.899345370459123,548330.8105736213
3955,2,2,18,5.523445047269061,638342.6887823907
1350,5,1,8,14.876387371422895,310634.14473936503
1890,5,3,26,23.6361247797292,392594.5104608059
643,3,2,33,9.805094206171367,154916.91924274442
1384,2,1,3,10.039005026936202,256616.22160163507
3640,3,1,35,1.0910862753955413,590485.3151855405
3670,2,3,17,6.053058647716007,616368.5808841856
895,3,2,14,26.386763128533193,178441.52764808093
3596,5,2,12,13.810648257493504,646611.2085595179
3495,5,3,18,29.542800477798586,616528.8095854489
3438,1,3,5,12.475530943639985,579309.295452509
1992,3,1,11,21.740407188626996,317767.1313811963
3722,4,1,36,9.175652244237146,622540.147122645
1667,1,3,16,11.550479593087072,295748.3209282471
3116,3,2,22,6.531053640135945,536959.1858225046
1562,3,1,25,11.064808686482454,293602.67554649984
2656,1,1,28,16.86988809219865,389838.25805715716
1565,5,2,32,29.761413548398234,313220.0941201825
1709,3,1,26,20.261849679081784,264540.02199812146
3482,5,2,24,6.778132677841107,620092.1140901305
2945,1,2,9,2.303881806154983,495082.1646614734
3794,5,2,22,4.664337958120807,656748.2360088319
1133,2,3,20,17.314100836918374,224032.0496688428
1656,4,3,20,23.189649535686222,324047.5943860568
3734,3,3,12,28.27215701172166,625563.0384117024
1738,4,2,36,1.4588719879078038,331175.96568066825
1232,5,2,32,16.160044105294226,254332.02183030432
734,3,3,23,14.655153330472126,187834.8963939249
3205,5,1,10,20.025595637295414,566980.4529323335
1250,2,2,16,17.227786779494917,236661.65001581307
3135,1,1,3,20.924135366891935,493842.433253091
3580,3,1,24,20.08439495772652,591094.4860986087
3645,2,2,29,4.39334002088044,591158.9611607596
1453,2,2,8,24.19181949494287,276387.49587410525
3039,3,1,20,4.573744695773421,495639.63769336225
3460,5,1,19,21.257388131064975,611177.009307357
3824,2,3,18,13.068215661577595,638022.6405833402
3801,4,3,18,15.90167130272134,668344.7184850004
2042,2,2,11,27.195642416895605,346975.34109555115
1697,5,3,36,26.80662806773111,329532.28875723697
2176,5,3,16,24.717832863995856,415930.9649871288
1691,4,3,36,15.794303033233374,359703.1197579216
2717,2,3,38,22.35095449388116,437268.2128331598
1916,5,1,27,15.874014610045473,362181.084062854
3493,3,2,34,26.218576391768547,543996.7814946121
3342,1,3,17,12.680499163754098,517792.8262537934
3181,1,1,13,29.136824988031428,471288.3918297844
1717,1,1,34,28.037359988637448,232188.82118873164
2040,2,1,6,22.50647596410178,333719.53938703495
2576,4,3,12,9.103060641106088,494004.2484646265
3736,5,3,17,4.817954075004494,724323.9621439059
1945,3,2,36,25.786400052702728,322084.90023621294
2886,3,3,12,5.793766298000877,546205.3353211508
2019,2,3,35,25.773562880922736,358706.80034475145
1888,1,1,30,15.232185194658452,290272.1790844213
2356,2,2,1,12.790146730435023,406282.9582813283
1865,4,3,15,27.192532586198443,345135.3823718107
999,4,3,8,18.51167849366806,257107.47966634054
2180,5,1,8,17.721806206761816,433160.37498875236
1010,5,1,37,17.204212394107532,245911.09957013722
3898,4,3,10,11.763915964566412,675686.7147217318
716,4,2,21,23.78365000234469,173163.4541598763
1824,4,2,32,8.331154876457418,335510.87626719987
1655,2,1,35,28.227953841196975,237519.87627224918
2327,4,1,22,26.925570946361862,409490.24206717254
3641,3,3,33,10.786929444572047,603773.4990149419
3823,1,1,8,22.154449325118247,567531.4830151267
3986,4,3,23,17.62347263903815,698831.465316796
2310,1,2,7,10.791829757977803,386869.2520926754
2992,2,2,6,29.667127791867955,489583.04017715965
3423,1,3,35,1.731883029599662,538924.8065974143
1705,2,1,17,8.326734888017313,308218.6142852032
2714,3,2,2,16.08214777222336,479635.2051875735
590,2,1,27,16.136637100878353,141466.21498044318
1213,2,2,5,18.07905917342136,232288.4333686293
2381,5,3,20,22.798608988664657,428351.17338362796
538,4,3,27,19.080857085059595,129351.00989328737
3697,4,3,39,18.408162355313074,639301.086772369
672,3,2,0,2.5519194244782555,207755.49286048382
1152,3,1,35,11.919378345889651,196123.1997052526
1253,4,1,20,7.729616451333524,290735.0651403238
1743,5,1,34,8.695733236457286,365499.25081845425
1581,4,2,12,17.075786755870002,323632.41469574725
2183,5,2,9,6.785654132958644,451556.15500238334
3023,3,2,9,9.524523929490028,540143.4293313378
955,1,2,12,7.875456547002862,204124.46691280487
1328,3,2,36,28.506585353327647,242125.45414785607
1394,3,1,37,28.39530623296176,228923.66855110545
1884,2,2,23,18.688305199285498,325596.2127645142
2458,2,2,1,27.811151593225098,418149.2526285133
3572,2,1,21,23.78856671858282,564077.5860905421
2934,2,2,16,18.108488601252454,455641.1620025545
2496,5,1,35,1.1866211334070758,464951.1806158048
2895,4,1,13,23.402972296302718,502353.6353173933
689,1,3,9,21.372161906065596,138685.13058815183
1004,3,3,34,18.842355945190008,221320.14071807338
1714,5,3,24,23.05230503879168,388665.20926974394
2031,1,3,2,15.874742778468205,354248.51418809843
3940,5,2,37,21.418414868318834,680357.4013422965
3980,5,3,16,28.119990515068306,725173.980891705
1323,3,1,11,11.898345459536502,255175.12212959133
1428,4,2,23,21.535533212118136,270937.5187524997
1433,2,3,28,14.794946722317803,271991.7360140011
1640,4,1,24,20.557589902605464,268217.4180454234
633,3,2,35,23.12390673107656,99350.58769948324
2605,3,2,25,2.318122512638083,463427.05819410575
1184,3,3,37,19.751412874511196,198074.0313792608
3219,1,2,0,7.575494347801393,505546.9895157757
2720,4,1,19,20.430943596419436,461667.57795092574
2352,4,2,27,14.581575392080591,415797.1793617311
1314,5,1,15,23.433029514081728,274449.8729327115
1672,5,2,16,4.578623640962297,380114.4284705652
579,5,3,39,19.16334819802966,185063.8639724293
3433,3,1,27,9.075651138899017,546684.542834409
3784,4,2,11,25.736477864587155,663380.138227177
702,3,2,26,27.923121663452918,125144.01978838422
3311,1,2,29,29.89555051669261,496882.7021148889
1752,5,1,33,24.084214670391216,304214.4957044332
2199,3,1,36,22.85828804241213,356976.480543546
1750,3,1,5,7.24952200715898,321471.0669344521
2182,1,3,6,10.744204710713154,392989.3639621823
2055,2,3,31,14.504793711106107,364755.5483568073
3973,4,1,31,23.428050385685243,633914.8596344398
2594,2,2,24,27.53401008726109,400681.89530049526
1756,5,3,32,6.485033900666554,371588.5151038518
3876,3,1,6,27.748657055432982,651984.9148450821
2049,1,2,11,21.173114918267682,351662.9122983535
1666,1,3,15,18.71235118986612,269663.6260296041
3986,4,2,15,6.795396867176246,701107.9832028439
1896,2,2,35,2.610225951465366,297818.30261507566
3830,4,2,12,17.48548205673026,650704.3810274092
3203,3,2,6,19.89395481653788,531842.5798905252
970,4,3,35,7.112662031285959,251426.52983230067
3518,1,3,8,17.137229968938236,549802.0072342355
1535,1,3,31,25.838308680114633,251051.94485122245
1853,5,1,10,25.21691241819558,359743.7394052939
3283,5,3,7,27.893300237002617,601324.9673170546
3331,3,2,32,11.610688477149532,577513.0557840164
1467,2,3,22,10.223437603976642,303622.020281038
857,4,2,24,22.733354173443452,194450.75354976198
3519,3,1,7,13.502259747813145,578558.995743187
3979,5,2,21,3.538911256805638,683907.9889611469
1167,4,2,3,9.201232789444491,273384.88240196736
872,5,2,39,13.138886280413185,245760.66255577668
1531,4,1,2,9.482976338811309,311635.9935682698
1645,2,3,28,10.633961557472327,309647.4276896844
1871,3,3,28,9.519501279057332,332768.03886215365
3223,4,1,33,2.2034758483093038,543324.9002056866
589,1,2,33,19.475746323908833,99411.23326313094
3245,1,3,27,18.32148019025061,513416.45578047016
3887,4,1,12,19.948121455881736,660871.8885602767
3749,4,3,14,6.576986984975196,660532.9347466449
1039,4,1,22,9.573981706762073,197426.19006088295
3279,1,2,25,18.968861881402745,519712.49157343135
1368,1,3,3,18.38919948533772,235368.56117559868
540,4,1,25,15.683578971273766,147915.481441256
1239,5,3,39,11.161984250295724,295250.8687470305
2446,5,3,8,27.474999138466007,453068.7029360541
3049,2,3,4,10.85333702666647,544033.5442319339
3506,3,3,31,14.212955536680296,583388.5365453851
3716,5,1,19,20.665301097672053,637360.5182321323
1724,1,2,10,16.74762149513616,278479.64004538045
1428,5,1,14,11.05969331456718,331279.1792189264
2536,2,1,31,13.633698923238786,417118.65419952216
3008,2,1,27,24.039943717751676,433375.03752568754
3279,3,2,21,9.06574550911176,589866.661319511
3299,5,3,16,5.125401953527647,611749.9970587443
1424,1,3,25,10.081732853063535,280054.81730166404
3456,1,3,6,25.63649224914914,549120.364168751
2081,4,2,25,3.580701730834053,393455.54767778696
3824,1,3,24,29.7591861278011,585930.8978760316
889,3,2,9,16.68908406890221,193449.07125640544
2117,3,3,18,29.560526575045728,416455.4214923026
3430,1,3,10,28.230896240493347,542123.655769697
755,1,1,12,14.131597712116585,119983.95579980308
1208,4,2,7,6.756241163555123,279998.92019883904
2338,1,1,39,5.781658520389015,334208.3135257404
2444,4,1,3,7.959691552228768,475197.116462125
2997,4,1,30,21.593846576371583,476889.94088823145
509,1,2,27,8.915549847213146,86624.32104671578
3371,2,2,10,10.90133281852465,570798.5718291772
1297,2,3,0,14.014585315843828,266170.69664566766
3813,4,1,37,27.483747732222234,618104.4800052785
3822,1,3,23,6.492409118660537,636405.052631621
1376,2,1,30,1.1457700256842904,251311.2531993029
1528,1,2,25,2.7427959009669345,258519.34927615023
3690,1,2,4,27.23822390872342,604401.9158390536
1515,1,2,19,19.77797748045753,232846.980287599
2324,5,1,10,8.918177960506396,445177.1774246053
873,1,2,32,6.138582529324542,148754.81249813395
3636,5,1,37,9.533735362476316,619729.938147269
2693,4,3,26,4.329110890287123,487782.7292552955
723,2,1,33,28.30445439824879,84990.79822434374
1762,2,3,14,23.74197905659274,320616.0445590952
2724,2,1,31,14.409344130463682,414888.5490862765
2302,2,3,20,26.08391554834086,416833.21628637833
1352,2,2,4,8.234287924503736,260277.57722696767
3853,2,3,5,21.796496485693613,633381.164651934
562,2,2,37,25.82784247139856,115287.25432464125
1740,4,2,21,11.346292637074907,348886.59692464094
3374,1,3,17,22.966468918070813,531900.7696651235
3342,3,1,13,9.557098128664972,546731.9256548684
1188,5,1,9,9.666856922511894,331198.67013747426
1984,3,1,12,4.1046581780713955,364322.1282558547
2133,3,1,30,13.761683348772562,373454.76031199336
2652,1,1,29,22.161645288425245,372094.1719080723
3670,1,2,2,28.266403361567264,561963.8158420776
1010,1,1,29,18.510112765943788,176475.07555841055
884,2,2,5,26.030930594336432,193523.0334959981
904,4,2,28,24.852344829416584,205211.9867265827
3370,2,2,7,6.026948536283145,558149.4880867616
1017,4,3,32,15.088705438466313,233350.75798218505
975,4,3,16,4.390782530236352,243917.5564409217
2500,3,2,10,20.782441685287413,418864.818362633
3256,3,3,12,28.547090379136204,569110.5723847791
2168,4,1,10,4.975594284283939,415306.87405759696
2393,4,1,30,22.282610793273697,418708.57145186036
3318,2,2,27,19.334906375167968,521711.623805398
1960,2,1,5,17.924546073234893,330910.0385537626
3594,3,2,15,12.313486805961837,598305.8567194261
3544,1,2,3,11.298817784860564,556991.5612735848
3224,4,1,34,2.312226481547748,574093.7100605849
1213,2,3,25,7.31935253930839,241453.25691330276
582,3,1,11,1.4401295863179802,159671.6854879801
1668,2,1,10,17.861096061878595,291875.2141459839
3656,4,2,36,4.069743840459356,627540.869453036
3649,4,2,24,26.317562426861766,615441.9287335156
3004,5,2,17,16.171147600217793,534529.4747454765
2401,1,2,18,21.291007362702544,361017.2672107486
2548,5,3,22,12.914855663374396,482467.92300969886
550,3,3,37,17.256814461030412,149725.0617912776
1184,2,3,17,28.337116132032286,221726.24366029867
1216,3,2,25,3.3992871490864522,235560.23939442972
1969,4,2,5,8.364195385787188,401687.28723874094
948,5,2,3,23.619661480405785,254332.1854339058
1380,5,3,28,3.86337899959731,315312.13113091217
987,5,2,33,3.1941720132192146,248038.4148173417
2323,3,1,16,11.484700563867118,407372.42456204
2581,4,1,15,3.672870795700537,453601.79889250814
3919,2,2,1,17.96727482397989,647576.1266494594
2642,2,1,33,7.561982273681395,421853.37178877206
3643,3,1,7,26.975240932781798,573886.7634847028
2074,5,3,12,23.721502344512444,426075.4486804591
2701,1,2,7,21.29145097688481,433743.27782295377
749,3,2,29,18.891376794150556,150868.60631376744
1173,3,3,31,26.040506179902437,221900.23907210442
937,4,1,35,7.468799784739949,184954.9012512922
2665,2,1,29,26.320156440162602,398494.859022979
1270,3,2,0,23.89527665429752,256423.49318914526
3877,3,1,38,22.69666396524288,595285.5036543423
767,5,3,16,17.276414664172798,207700.26686216888
2484,5,3,19,8.141080668147403,483930.0989623032
1577,1,2,23,13.282889563764995,248607.72883405496
735,4,3,21,24.013548981625245,206689.03166285853
888,1,3,28,1.921576046362409,182799.89767529155
3537,5,2,21,23.67947230864899,632613.843874476
1262,2,3,8,7.962051474139428,248852.66507087607
2348,5,3,36,5.184966820926488,465338.2948652637
2948,4,3,9,4.355338227228763,519298.96428774827
1123,5,1,35,1.7902503465736381,260093.55562614117
3314,4,2,36,16.184008071422134,571279.4570370899
3874,4,2,27,7.329536308118155,656896.086173968
3466,4,2,27,29.693521207609315,583037.9259682174
3778,4,1,20,17.658665920293966,605317.4699491552
1752,4,1,23,4.998672811324302,322385.32233267836
3400,2,2,39,20.974113683529595,539307.6248929546
1077,1,1,1,27.034563428782032,176384.23574931157
2622,3,2,7,22.610205365718816,448911.97696860967
934,1,1,26,3.216755970143982,163253.67879092667
2650,4,3,21,26.980641254587127,480793.83049741155
3993,2,3,36,24.023952189938978,623562.7333512286
1263,5,2,26,5.590813103062816,290316.7772378878
3285,2,1,28,2.501790773251689,516016.9438570753
3353,4,1,2,17.162006684114946,561431.3540536072
1829,2,3,12,5.52503852885933,363075.2485596722
2645,2,3,9,25.20313762526289,440826.4958753482
3345,4,1,35,11.391705043478538,544872.8842420678
1858,2,1,8,27.473880897360687,276885.89429493895
3406,3,1,26,17.40495699208917,508155.5249940739
2982,3,1,33,6.297499142950376,500124.9538788344
946,2,1,0,5.048367153434203,203755.763152109
2517,5,1,31,17.717700689174862,467927.87807974574
1831,4,2,24,23.094624744010872,340119.7855134364
748,3,1,28,23.66366378452328,136306.4483060728
665,5,3,6,8.996964728797156,223337.18857165574
3531,2,2,2,6.923156008452857,584878.479543974
1858,5,1,19,1.48593283027909,393810.9224308237
1519,1,3,19,20.696775384833913,256555.4958842317
1041,3,2,29,3.2204794945726305,225400.58244544844
1258,2,3,34,13.202074851211847,226667.8226693821
3677,4,1,34,18.448782756530587,620713.93583678
2628,2,1,38,28.176159402670635,362052.75740580825
2680,4,1,26,10.042261971717291,447849.875407512
1296,2,1,25,8.243392710949074,226852.2651525693
3447,5,2,13,19.970644474296854,642938.5167941672
